ReceptionStart,ReceptionEnd,Frequency,Center,Description,Notes,Protocol,Service,Callsign,ShiftEnabled,Shift,FilterType,FilterBandwidth,SquelchEnabled,Squelch,CWShift,TimeoutSeconds,MinSignalStrength,ActualSignalStrength
2016-11-22 23:59:57,2016-11-22 23:59:59,130065000,130065000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-30,Cutoff
2016-11-23 00:00:02,2016-11-23 00:00:05,130075000,130075000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-27,Cutoff
2016-11-23 00:00:05,2016-11-23 00:00:08,130080000,130080000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-27,Cutoff
2016-11-23 00:00:09,2016-11-23 00:00:11,130090000,130090000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-28,Cutoff
2016-11-23 00:00:11,2016-11-23 00:00:14,130100000,130100000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-26,Cutoff
2016-11-23 00:00:14,2016-11-23 00:00:16,130105000,130105000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-28,Cutoff
2016-11-23 00:00:18,2016-11-23 00:00:20,130115000,130115000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-30,Cutoff
2016-11-23 00:00:21,2016-11-23 00:00:23,130120000,130120000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-26,Cutoff
2016-11-23 00:00:24,2016-11-23 00:00:26,130125000,130125000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-27,Cutoff
2016-11-23 00:00:27,2016-11-23 00:00:29,130130000,130130000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-25,Cutoff
2016-11-23 00:00:29,2016-11-23 00:00:32,130135000,130135000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-27,Cutoff
2016-11-23 00:00:35,2016-11-23 00:00:37,130145000,130145000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-27,Cutoff
2016-11-23 00:00:38,2016-11-23 00:00:40,130150000,130150000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-27,Cutoff
2016-11-23 00:00:41,2016-11-23 00:00:43,130155000,130155000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-29,Cutoff
2016-11-23 00:00:45,2016-11-23 00:00:47,130165000,130165000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-28,Cutoff
2016-11-23 00:00:48,2016-11-23 00:00:50,130175000,130175000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-30,Cutoff
2016-11-23 00:00:53,2016-11-23 00:00:56,130180000,130180000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-26,Cutoff
2016-11-23 00:00:56,2016-11-23 00:00:58,130185000,130185000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-28,Cutoff
2016-11-23 00:00:59,2016-11-23 00:01:02,130190000,130190000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-26,Cutoff
2016-11-23 00:01:04,2016-11-23 00:01:06,130195000,130195000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-28,Cutoff
2016-11-23 00:01:07,2016-11-23 00:01:09,130200000,130200000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-28,Cutoff
2016-11-23 00:01:10,2016-11-23 00:01:12,130205000,130205000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-28,Cutoff
2016-11-23 00:01:13,2016-11-23 00:01:15,130215000,130215000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-27,Cutoff
2016-11-23 00:01:18,2016-11-23 00:01:20,130225000,130225000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-26,Cutoff
2016-11-23 00:01:21,2016-11-23 00:01:23,130230000,130230000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-29,Cutoff
2016-11-23 00:01:24,2016-11-23 00:01:26,130235000,130235000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-28,Cutoff
2016-11-23 00:01:27,2016-11-23 00:01:30,130240000,130240000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-27,Cutoff
2016-11-23 00:01:30,2016-11-23 00:01:33,130250000,130250000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-29,Cutoff
2016-11-23 00:01:33,2016-11-23 00:01:36,130255000,130255000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-30,Cutoff
2016-11-23 00:01:36,2016-11-23 00:01:38,130260000,130260000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-25,Cutoff
2016-11-23 00:01:39,2016-11-23 00:01:41,130265000,130265000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-28,Cutoff
2016-11-23 00:01:43,2016-11-23 00:01:46,130270000,130270000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-27,Cutoff
2016-11-23 00:01:48,2016-11-23 00:01:51,130275000,130275000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-28,Cutoff
2016-11-23 00:01:51,2016-11-23 00:01:53,130280000,130280000,"Unidentified","","","","",False,0,"BlackmanHarris4",10000,False,50,1000,1,-30,-27,Cutoff
