PERIOD,NODE2,LAT2,LON2,NODE1,LAT1,LON1,MA1,DIST1,NODE3,LAT3,LON3,MA3,DIST3,NODE4,LAT4,LON4,MA4,DIST4
1,YIS,1.423272,103.844975,STN,1.351944,103.765833,-19.75,11.848,BIS,1.359603,103.843286,-10,7.084,CCK,1.385351,103.745053,-19,11.885
2,YIS,1.423272,103.844975,STN,1.351944,103.765833,-19.75,11.848,BIS,1.359603,103.843286,-10,7.084,CCK,1.385351,103.745053,-19,11.885
3,YIS,1.423272,103.844975,STN,1.351944,103.765833,-19.75,11.848,BIS,1.359603,103.843286,-10,7.084,CCK,1.385351,103.745053,-19,11.885
4,YIS,1.423272,103.844975,STN,1.351944,103.765833,-19.75,11.848,BIS,1.359603,103.843286,-10,7.084,CCK,1.385351,103.745053,-19,11.885
5,YIS,1.423272,103.844975,STN,1.351944,103.765833,-19.75,11.848,BIS,1.359603,103.843286,-10,7.084,CCK,1.385351,103.745053,-19,11.885
6,YIS,1.423272,103.844975,STN,1.351944,103.765833,-19.75,11.848,BIS,1.359603,103.843286,-10,7.084,CCK,1.385351,103.745053,-19,11.885
7,YIS,1.423272,103.844975,STN,1.351944,103.765833,-19.75,11.848,BIS,1.359603,103.843286,-10,7.084,CCK,1.385351,103.745053,-19,11.885
8,YIS,1.423272,103.844975,STN,1.351944,103.765833,-19.75,11.848,BIS,1.359603,103.843286,-10,7.084,CCK,1.385351,103.745053,-19,11.885
9,YIS,1.423272,103.844975,STN,1.351944,103.765833,-19.75,11.848,BIS,1.359603,103.843286,-10,7.084,CCK,1.385351,103.745053,-19,11.885
10,YIS,1.423272,103.844975,STN,1.351944,103.765833,-19.75,11.848,BIS,1.359603,103.843286,-10,7.084,CCK,1.385351,103.745053,-19,11.885
11,YIS,1.425059,103.849078,STN,1.351944,103.765833,-21.86956522,12.19,BIS,1.364013,103.844911,-9,6.806,CCK,1.390096,103.745582,-21,12.148
12,YIS,1.425059,103.849078,STN,1.351944,103.765833,-21.86956522,12.19,BIS,1.364013,103.844911,-9,6.806,CCK,1.390096,103.745582,-21,12.148
13,YIS,1.425059,103.849078,STN,1.351944,103.765833,-21.86956522,12.19,BIS,1.364013,103.844911,-9,6.806,CCK,1.390096,103.745582,-21,12.148
14,YIS,1.425059,103.849078,STN,1.351944,103.765833,-21.86956522,12.19,BIS,1.364013,103.844911,-9,6.806,CCK,1.390096,103.745582,-21,12.148
15,YIS,1.425059,103.849078,STN,1.351944,103.765833,-21.86956522,12.19,BIS,1.364013,103.844911,-9,6.806,CCK,1.390096,103.745582,-21,12.148
16,YIS,1.425059,103.849078,STN,1.351944,103.765833,-21.86956522,12.19,BIS,1.364013,103.844911,-9,6.806,CCK,1.390096,103.745582,-21,12.148
17,YIS,1.425059,103.849078,STN,1.351944,103.765833,-21.86956522,12.19,BIS,1.364013,103.844911,-9,6.806,CCK,1.390096,103.745582,-21,12.148
18,YIS,1.425059,103.849078,STN,1.351944,103.765833,-21.86956522,12.19,BIS,1.364013,103.844911,-9,6.806,CCK,1.390096,103.745582,-21,12.148
19,YIS,1.425059,103.849078,STN,1.351944,103.765833,-21.86956522,12.19,BIS,1.364013,103.844911,-9,6.806,CCK,1.390096,103.745582,-21,12.148
20,YIS,1.425059,103.849078,STN,1.351944,103.765833,-21.86956522,12.19,BIS,1.364013,103.844911,-9,6.806,CCK,1.390096,103.745582,-21,12.148
21,YIS,1.424709,103.857244,STN,1.351944,103.765833,-23.13636364,12.87,BIS,1.371274,103.844609,-8,6.107,CCK,1.40005,103.748157,-22,12.436
22,YIS,1.424709,103.857244,STN,1.351944,103.765833,-23.13636364,12.87,BIS,1.371274,103.844609,-8,6.107,CCK,1.40005,103.748157,-22,12.436
23,YIS,1.424709,103.857244,STN,1.351944,103.765833,-23.13636364,12.87,BIS,1.371274,103.844609,-8,6.107,CCK,1.40005,103.748157,-22,12.436
24,YIS,1.424709,103.857244,STN,1.351944,103.765833,-23.13636364,12.87,BIS,1.371274,103.844609,-8,6.107,CCK,1.40005,103.748157,-22,12.436
25,YIS,1.424709,103.857244,STN,1.351944,103.765833,-23.13636364,12.87,BIS,1.371274,103.844609,-8,6.107,CCK,1.40005,103.748157,-22,12.436
26,YIS,1.424709,103.857244,STN,1.351944,103.765833,-23.13636364,12.87,BIS,1.371274,103.844609,-8,6.107,CCK,1.40005,103.748157,-22,12.436
27,YIS,1.424709,103.857244,STN,1.351944,103.765833,-23.13636364,12.87,BIS,1.371274,103.844609,-8,6.107,CCK,1.40005,103.748157,-22,12.436
28,YIS,1.424709,103.857244,STN,1.351944,103.765833,-23.13636364,12.87,BIS,1.371274,103.844609,-8,6.107,CCK,1.40005,103.748157,-22,12.436
29,YIS,1.424709,103.857244,STN,1.351944,103.765833,-23.13636364,12.87,BIS,1.371274,103.844609,-8,6.107,CCK,1.40005,103.748157,-22,12.436
30,YIS,1.424709,103.857244,STN,1.351944,103.765833,-23.13636364,12.87,BIS,1.371274,103.844609,-8,6.107,CCK,1.40005,103.748157,-22,12.436
