,Frequency,TransmitterDistance,MeanAmplitude,Lat,Lon
0,87.6,39.495,-36.5,1.423272,103.844975
1,87.75,38.773,-40.0,1.423272,103.844975
2,87.8,38.773,-37.75,1.423272,103.844975
3,88.0,39.495,-37.25,1.423272,103.844975
4,88.3,11.849,-38.0,1.423272,103.844975
5,88.9,11.849,-26.2105263158,1.423272,103.844975
6,89.7,11.848,-33.8095238095,1.423272,103.844975
7,90.0,35.178,-37.7333333333,1.423272,103.844975
8,90.1,38.773,-36.0,1.423272,103.844975
9,90.5,11.848,-32.9545454545,1.423272,103.844975
10,90.9,47.367,-38.0,1.423272,103.844975
11,91.3,11.849,-33.36,1.423272,103.844975
12,91.7,37.478,-38.1428571429,1.423272,103.844975
13,92.0,11.849,-31.0869565217,1.423272,103.844975
14,92.4,11.848,-21.8695652174,1.423272,103.844975
15,92.8,38.773,-38.0,1.423272,103.844975
16,93.3,11.848,-19.75,1.423272,103.844975
17,93.8,11.848,-28.9166666667,1.423272,103.844975
18,94.2,11.848,-23.1363636364,1.423272,103.844975
19,94.6,38.773,-36.0454545455,1.423272,103.844975
20,95.0,11.848,-23.4761904762,1.423272,103.844975
21,95.4,38.773,-34.3333333333,1.423272,103.844975
22,95.8,11.848,-26.44,1.423272,103.844975
23,96.3,11.848,-38.5,1.423272,103.844975
24,96.8,11.848,-23.3043478261,1.423272,103.844975
25,97.2,11.848,-22.9166666667,1.423272,103.844975
26,97.6,38.773,-39.5,1.423272,103.844975
27,98.4,38.773,-36.0,1.423272,103.844975
28,98.7,11.848,-26.1111111111,1.423272,103.844975
29,99.1,38.773,-36.75,1.423272,103.844975
30,99.5,11.848,-22.12,1.423272,103.844975
31,99.9,38.773,-18.12,1.423272,103.844975
32,100.3,11.849,-30.24,1.423272,103.844975
33,101.1,38.773,-35.3571428571,1.423272,103.844975
34,101.4,9.956,-30.0,1.423272,103.844975
35,101.9,38.773,-39.0,1.423272,103.844975
36,102.9,38.773,-30.875,1.423272,103.844975
37,103.7,38.773,-34.5,1.423272,103.844975
38,104.1,38.773,-25.0,1.423272,103.844975
39,104.9,38.773,-27.0,1.423272,103.844975
40,105.7,38.773,-40.0,1.423272,103.844975
41,106.0,39.495,-30.0,1.423272,103.844975
42,106.2,38.773,-22.0,1.423272,103.844975
43,106.7,38.773,-32.3333333333,1.423272,103.844975
44,87.6,34.086,-34.5,1.359603,103.843286
45,87.8,42.718,-30.0,1.359603,103.843286
46,88.0,34.086,-33.0,1.359603,103.843286
47,88.3,8.655,-12.5,1.359603,103.843286
48,88.9,8.655,-10.875,1.359603,103.843286
49,89.7,8.619,-15.5,1.359603,103.843286
50,90.0,28.627,-36.0,1.359603,103.843286
51,90.1,42.718,-25.25,1.359603,103.843286
52,90.5,8.619,-13.375,1.359603,103.843286
53,90.9,41.405,-33.25,1.359603,103.843286
54,91.3,8.655,-12.375,1.359603,103.843286
55,91.7,31.704,-32.625,1.359603,103.843286
56,92.0,8.655,-1.25,1.359603,103.843286
57,92.4,8.619,-1.75,1.359603,103.843286
58,92.8,42.718,-26.375,1.359603,103.843286
59,93.3,8.619,-12.375,1.359603,103.843286
60,93.8,8.619,-5.625,1.359603,103.843286
61,94.2,8.619,-8.5,1.359603,103.843286
62,94.6,42.718,-29.125,1.359603,103.843286
63,95.0,8.619,-9.75,1.359603,103.843286
64,95.4,42.718,-30.375,1.359603,103.843286
65,95.8,8.619,-10.25,1.359603,103.843286
66,96.3,8.619,-35.375,1.359603,103.843286
67,96.8,8.619,-18.125,1.359603,103.843286
68,97.2,8.619,-7.0,1.359603,103.843286
69,97.6,42.718,-36.0,1.359603,103.843286
70,98.0,8.655,-24.375,1.359603,103.843286
71,98.4,42.718,-35.375,1.359603,103.843286
72,98.7,8.619,-11.375,1.359603,103.843286
73,99.1,42.718,-27.75,1.359603,103.843286
74,99.5,8.619,-19.875,1.359603,103.843286
75,99.9,42.718,-14.25,1.359603,103.843286
76,100.3,8.655,-10.25,1.359603,103.843286
77,100.7,34.086,-35.7142857143,1.359603,103.843286
78,101.1,42.718,-30.8571428571,1.359603,103.843286
79,101.2,85.587,-37.4285714286,1.359603,103.843286
80,101.4,14.643,-34.625,1.359603,103.843286
81,101.5,34.086,-36.3333333333,1.359603,103.843286
82,101.9,42.718,-28.8571428571,1.359603,103.843286
83,102.3,28.817,-39.5,1.359603,103.843286
84,102.5,42.718,-34.25,1.359603,103.843286
85,102.9,42.718,-26.25,1.359603,103.843286
86,103.7,42.718,-32.0,1.359603,103.843286
87,104.1,42.718,-31.25,1.359603,103.843286
88,104.3,34.086,-30.5,1.359603,103.843286
89,104.5,42.718,-32.1428571429,1.359603,103.843286
90,104.7,34.086,-36.1428571429,1.359603,103.843286
91,104.9,42.718,-36.7142857143,1.359603,103.843286
92,105.3,16.733,-37.5,1.359603,103.843286
93,105.5,28.627,-36.6666666667,1.359603,103.843286
94,105.7,42.718,-31.0,1.359603,103.843286
95,106.1,28.817,-39.0,1.359603,103.843286
96,106.2,42.718,-18.5,1.359603,103.843286
97,106.7,42.718,-30.375,1.359603,103.843286
98,107.0,23.913,-35.5,1.359603,103.843286
99,107.3,55.955,-40.0,1.359603,103.843286
100,107.5,42.718,-37.0,1.359603,103.843286
101,107.9,34.086,-40.0,1.359603,103.843286
102,87.55,43.997,-39.0,1.385351,103.745053
103,87.575,43.997,-31.0,1.385351,103.745053
104,87.6,43.997,-30.72,1.385351,103.745053
105,87.775,32.8,-35.0,1.385351,103.745053
106,87.8,32.8,-30.78,1.385351,103.745053
107,88.0,43.997,-31.6111111111,1.385351,103.745053
108,88.3,4.376,-27.1320754717,1.385351,103.745053
109,88.9,4.376,9.35185185185,1.385351,103.745053
110,89.7,4.434,-4.67272727273,1.385351,103.745053
111,90.0,36.687,-28.6,1.385351,103.745053
112,90.1,32.8,-24.8727272727,1.385351,103.745053
113,90.5,4.434,-6.83636363636,1.385351,103.745053
114,90.9,50.412,-27.6545454545,1.385351,103.745053
115,91.3,4.376,-18.7272727273,1.385351,103.745053
116,91.7,41.208,-27.1636363636,1.385351,103.745053
117,92.0,4.376,-20.0727272727,1.385351,103.745053
118,92.4,4.434,1.54545454545,1.385351,103.745053
119,92.8,32.8,-22.5818181818,1.385351,103.745053
120,93.3,4.434,-4.74545454545,1.385351,103.745053
121,93.8,4.434,3.29090909091,1.385351,103.745053
122,94.2,4.434,-12.8,1.385351,103.745053
123,94.6,32.8,-27.4727272727,1.385351,103.745053
124,95.0,4.434,-6.58181818182,1.385351,103.745053
125,95.4,32.8,-21.0909090909,1.385351,103.745053
126,95.8,4.434,-11.8545454545,1.385351,103.745053
127,96.3,4.434,-23.1090909091,1.385351,103.745053
128,96.8,4.434,-4.61818181818,1.385351,103.745053
129,97.2,4.434,-0.636363636364,1.385351,103.745053
130,97.6,32.8,-27.9818181818,1.385351,103.745053
131,98.0,4.376,-27.6909090909,1.385351,103.745053
132,98.4,32.8,-32.9259259259,1.385351,103.745053
133,98.7,4.434,-2.81818181818,1.385351,103.745053
134,99.1,32.8,-29.3333333333,1.385351,103.745053
135,99.5,4.434,-16.0,1.385351,103.745053
136,99.9,32.8,-11.9454545455,1.385351,103.745053
137,100.3,4.376,-8.61818181818,1.385351,103.745053
138,100.7,43.997,-37.5,1.385351,103.745053
139,101.1,32.8,-27.6909090909,1.385351,103.745053
140,101.2,96.204,-38.125,1.385351,103.745053
141,101.4,9.359,-23.1636363636,1.385351,103.745053
142,101.9,32.8,-27.462962963,1.385351,103.745053
143,102.5,32.8,-30.7924528302,1.385351,103.745053
144,102.9,32.8,-23.5185185185,1.385351,103.745053
145,103.7,32.8,-35.08,1.385351,103.745053
146,104.1,32.8,-26.3333333333,1.385351,103.745053
147,104.5,32.8,-27.9090909091,1.385351,103.745053
148,104.7,43.997,-40.0,1.385351,103.745053
