,Frequency,MeanAmplitude,Lat,Lon,TransmitterDistance
0,87.0,-39.1111111111,1.423272,103.844975,
1,87.005,-40.0,1.423272,103.844975,
2,87.015,-40.0,1.423272,103.844975,
3,87.02,-27.0,1.423272,103.844975,
4,87.025,-29.0,1.423272,103.844975,
5,87.1,-36.4285714286,1.423272,103.844975,
6,87.2,-34.2,1.423272,103.844975,
7,87.22,-37.5,1.423272,103.844975,
8,87.225,-40.0,1.423272,103.844975,
9,87.3,-34.3333333333,1.423272,103.844975,
10,87.325,-39.0,1.423272,103.844975,
11,87.35,-38.0,1.423272,103.844975,
12,87.4,-33.75,1.423272,103.844975,
13,87.425,-39.0,1.423272,103.844975,
14,87.5,-37.75,1.423272,103.844975,
15,87.525,-40.0,1.423272,103.844975,
16,87.535,-39.0,1.423272,103.844975,
17,87.7,-37.1666666667,1.423272,103.844975,
18,87.9,-37.75,1.423272,103.844975,
19,88.1,-37.5,1.423272,103.844975,
20,88.2,-35.0,1.423272,103.844975,
21,88.4,-37.75,1.423272,103.844975,
22,88.5,-36.0,1.423272,103.844975,
23,88.6,-38.3333333333,1.423272,103.844975,
24,88.7,-38.0,1.423272,103.844975,
25,89.0,-37.3333333333,1.423272,103.844975,
26,89.1,-38.0,1.423272,103.844975,
27,89.2,-37.7142857143,1.423272,103.844975,
28,89.3,-37.6,1.423272,103.844975,
29,89.4,-37.0,1.423272,103.844975,
30,89.5,-38.0,1.423272,103.844975,
31,89.6,-37.25,1.423272,103.844975,
32,89.8,-38.0,1.423272,103.844975,
33,89.9,-38.0,1.423272,103.844975,
34,90.2,-37.1333333333,1.423272,103.844975,
35,90.3,-37.7272727273,1.423272,103.844975,
36,90.4,-38.2307692308,1.423272,103.844975,
37,90.6,-38.1428571429,1.423272,103.844975,
38,90.7,-36.0,1.423272,103.844975,
39,90.8,-37.4285714286,1.423272,103.844975,
40,91.0,-38.5,1.423272,103.844975,
41,91.1,-37.5,1.423272,103.844975,
42,91.2,-38.5384615385,1.423272,103.844975,
43,91.4,-37.7272727273,1.423272,103.844975,
44,91.5,-37.7272727273,1.423272,103.844975,
45,91.6,-39.5,1.423272,103.844975,
46,91.8,-37.5,1.423272,103.844975,
47,91.9,-36.4375,1.423272,103.844975,
48,92.1,-36.6666666667,1.423272,103.844975,
49,92.2,-37.7777777778,1.423272,103.844975,
50,92.3,-38.3846153846,1.423272,103.844975,
51,92.5,-36.0,1.423272,103.844975,
52,92.6,-38.4,1.423272,103.844975,
53,92.7,-38.4,1.423272,103.844975,
54,92.9,-37.5,1.423272,103.844975,
55,93.0,-38.0,1.423272,103.844975,
56,93.1,-36.5,1.423272,103.844975,
57,93.2,-37.95,1.423272,103.844975,
58,93.4,-35.3333333333,1.423272,103.844975,
59,93.5,-38.0,1.423272,103.844975,
60,93.6,-36.0,1.423272,103.844975,
61,93.7,-38.4,1.423272,103.844975,
62,93.9,-38.1666666667,1.423272,103.844975,
63,94.0,-37.5,1.423272,103.844975,
64,94.1,-35.75,1.423272,103.844975,
65,94.3,-37.3333333333,1.423272,103.844975,
66,94.4,-35.6666666667,1.423272,103.844975,
67,94.5,-34.6666666667,1.423272,103.844975,
68,94.7,-37.5,1.423272,103.844975,
69,94.8,-35.0,1.423272,103.844975,
70,94.9,-36.25,1.423272,103.844975,
71,95.1,-34.6666666667,1.423272,103.844975,
